nconst,primaryName
nm0000005,Ingmar Bergman
nm0000008,Marlon Brando
nm0000019,Federico Fellini
nm0000033,Alfred Hitchcock
nm0000036,Buster Keaton
nm0000037,Gene Kelly
nm0000040,Stanley Kubrick
nm0000041,Akira Kurosawa
nm0000045,Bruce Lee
nm0000059,Laurence Olivier
nm0000076,François Truffaut
nm0000078,John Wayne
nm0000080,Orson Welles
nm0000086,Louis de Funès
nm0000091,Gérard Pirès
nm0000095,Woody Allen
nm0000101,Dan Aykroyd
nm0000104,Antonio Banderas
nm0000106,Drew Barrymore
nm0000108,Luc Besson
nm0000110,Kenneth Branagh
nm0000114,Steve Buscemi
nm0000116,James Cameron
nm0000118,John Carpenter
nm0000122,Charles Chaplin
nm0000123,George Clooney
nm0000126,Kevin Costner
nm0000127,Wes Craven
nm0000128,Russell Crowe
nm0000134,Robert De Niro
nm0000136,Johnny Depp
nm0000141,David Duchovny
nm0000142,Clint Eastwood
nm0000146,Ralph Fiennes
nm0000149,Jodie Foster
nm0000154,Mel Gibson
nm0000158,Tom Hanks
nm0000163,Dustin Hoffman
nm0000165,Ron Howard
nm0000166,Helen Hunt
nm0000169,Tommy Lee Jones
nm0000175,Stephen King
nm0000180,David Lean
nm0000184,George Lucas
nm0000186,David Lynch
nm0000187,Madonna
nm0000191,Ewan McGregor
nm0000197,Jack Nicholson
nm0000198,Gary Oldman
nm0000199,Al Pacino
nm0000200,Bill Paxton
nm0000206,Keanu Reeves
nm0000209,Tim Robbins
nm0000217,Martin Scorsese
nm0000219,Steven Seagal
nm0000228,Kevin Spacey
nm0000229,Steven Spielberg
nm0000230,Sylvester Stallone
nm0000231,Oliver Stone
nm0000233,Quentin Tarantino
nm0000241,Jean-Claude Van Damme
nm0000243,Denzel Washington
nm0000247,John Woo
nm0000248,Edward D. Wood Jr.
nm0000255,Ben Affleck
nm0000257,Alan Alda
nm0000264,Pedro Almodóvar
nm0000265,Robert Altman
nm0000269,Jean-Jacques Annaud
nm0000274,David Arquette
nm0000277,Richard Attenborough
nm0000285,Alec Baldwin
nm0000316,Mel Brooks
nm0000318,Tim Burton
nm0000320,Luis Buñuel
nm0000329,Jackie Chan
nm0000332,Don Cheadle
nm0000333,Cher
nm0000338,Francis Ford Coppola
nm0000339,Roger Corman
nm0000341,Michael Crichton
nm0000343,David Cronenberg
nm0000345,Billy Crystal
nm0000352,Vincent D'Onofrio
nm0000361,Brian De Palma
nm0000362,Danny DeVito
nm0000365,Julie Delpy
nm0000369,Matt Dillon
nm0000380,Robert Duvall
nm0000382,Atom Egoyan
nm0000386,Roland Emmerich
nm0000387,Robert Englund
nm0000389,Emilio Estevez
nm0000391,Rupert Everett
nm0000399,David Fincher
nm0000406,John Ford
nm0000408,Jonathan Frakes
nm0000410,Stephen Fry
nm0000412,Andy Garcia
nm0000416,Terry Gilliam
nm0000419,Jean-Luc Godard
nm0000425,Peter Greenaway
nm0000428,D.W. Griffith
nm0000431,Taylor Hackford
nm0000436,Curtis Hanson
nm0000438,Ed Harris
nm0000450,Philip Seymour Hoffman
nm0000454,Dennis Hopper
nm0000455,John Hughes
nm0000464,Jim Jarmusch
nm0000466,Jean-Pierre Jeunet
nm0000473,Diane Keaton
nm0000474,Michael Keaton
nm0000484,John Landis
nm0000485,Fritz Lang
nm0000487,Ang Lee
nm0000490,Spike Lee
nm0000500,Richard Linklater
nm0000513,William H. Macy
nm0000517,Terrence Malick
nm0000518,John Malkovich
nm0000519,David Mamet
nm0000520,Michael Mann
nm0000524,Mary Stuart Masterson
nm0000530,Andrew McCarthy
nm0000540,Russ Meyer
nm0000551,Dermot Mulroney
nm0000552,Eddie Murphy
nm0000559,Leonard Nimoy
nm0000568,Frank Oz
nm0000570,Alan Parker
nm0000576,Sean Penn
nm0000578,Anthony Perkins
nm0000581,Joseph L. Mankiewicz
nm0000583,Wolfgang Petersen
nm0000591,Roman Polanski
nm0000600,Sam Raimi
nm0000601,Harold Ramis
nm0000602,Robert Redford
nm0000608,Burt Reynolds
nm0000614,Alan Rickman
nm0000619,Tim Roth
nm0000625,Fred Savage
nm0000626,John Sayles
nm0000630,Liev Schreiber
nm0000631,Ridley Scott
nm0000632,Jerry Seinfeld
nm0000635,Yahoo Serious
nm0000638,William Shatner
nm0000640,Martin Sheen
nm0000641,Gary Sinise
nm0000659,Barbra Streisand
nm0000662,Kiefer Sutherland
nm0000671,Billy Bob Thornton
nm0000682,Paul Verhoeven
nm0000691,John Waters
nm0000694,Wim Wenders
nm0000697,Billy Wilder
nm0000698,Gene Wilder
nm0000705,Robin Wright
nm0000709,Robert Zemeckis
nm0000720,Jim Abrahams
nm0000727,Percy Adlon
nm0000729,Casey Affleck
nm0000736,Robert Aldrich
nm0000740,Irwin Allen
nm0000741,Tim Allen
nm0000750,Jon Amiel
nm0000755,Lindsay Anderson
nm0000759,Paul Thomas Anderson
nm0000766,Theodoros Angelopoulos
