tconst,primaryTitle,startYear
tt0004972,The Birth of a Nation,1915
tt0006206,Les Vampires,1915
tt0006864,Intolerance,1916
tt0009968,Broken Blossoms,1919
tt0010323,The Cabinet of Dr. Caligari,1920
tt0011130,Dr. Jekyll and Mr. Hyde,1920
tt0011237,The Golem,1920
tt0011841,Way Down East,1920
tt0012349,The Kid,1921
tt0012364,The Phantom Carriage,1921
tt0012494,Destiny,1921
tt0012532,Orphans of the Storm,1921
tt0013086,"Dr. Mabuse, the Gambler",1922
tt0013257,Häxan,1922
tt0013427,Nanook of the North,1922
tt0013442,Nosferatu: A Symphony of Horror,1922
tt0014142,The Hunchback of Notre Dame,1923
tt0014341,Our Hospitality,1923
tt0014358,The Pilgrim,1923
tt0014429,Safety Last!,1923
tt0014538,Three Ages,1923
tt0014624,A Woman of Paris: A Drama of Fate,1923
tt0015064,The Last Laugh,1924
tt0015163,The Navigator,1924
tt0015174,Die Nibelungen: Kriemhild's Revenge,1924
tt0015175,Die Nibelungen: Siegfried,1924
tt0015324,Sherlock Jr.,1924
tt0015361,Strike,1925
tt0015400,The Thief of Bagdad,1924
tt0015532,The Adventures of Prince Achmed,1926
tt0015624,The Big Parade,1925
tt0015648,Battleship Potemkin,1925
tt0015841,The Freshman,1925
tt0015863,Go West,1925
tt0015864,The Gold Rush,1925
tt0015881,Greed,1924
tt0016039,The Lost World,1925
tt0016220,The Phantom of the Opera,1925
tt0016332,Seven Chances,1925
tt0016641,Ben-Hur: A Tale of the Christ,1925
tt0016847,Faust,1926
tt0017075,The Lodger: A Story of the London Fog,1927
tt0017136,Metropolis,1927
tt0017765,College,1927
tt0017925,The General,1926
tt0018037,The Jazz Singer,1927
tt0018051,The Kid Brother,1927
tt0018192,Napoleon,1927
tt0018217,October (Ten Days that Shook the World),1928
tt0018455,Sunrise,1927
tt0018528,The Unknown,1927
tt0018578,Wings,1927
tt0018737,Pandora's Box,1929
tt0018742,The Cameraman,1928
tt0018773,The Circus,1928
tt0018806,The Crowd,1928
tt0018839,The Docks of New York,1928
tt0019130,The Man Who Laughs,1928
tt0019254,The Passion of Joan of Arc,1928
tt0019421,"Steamboat Bill, Jr.",1928
tt0019585,The Wind,1928
tt0019702,Blackmail,1929
tt0019729,The Broadway Melody,1929
tt0019760,Man with a Movie Camera,1929
tt0019777,The Cocoanuts,1929
tt0020629,All Quiet on the Western Front,1930
tt0020640,Animal Crackers,1930
tt0020697,The Blue Angel,1930
tt0020960,Hell's Angels,1930
tt0021079,Little Caesar,1931
tt0021156,Morocco,1930
tt0021165,Murder!,1930
tt0021331,The Blood of a Poet,1932
tt0021571,Earth,1930
tt0021577,L'Age d'Or,1930
tt0021739,The Bitch,1931
tt0021746,Cimarron,1931
tt0021749,City Lights,1931
tt0021814,Dracula,1931
tt0021815,Drácula,1931
tt0021884,Frankenstein,1931
tt0022100,M,1931
tt0022158,Monkey Business,1931
tt0022286,The Public Enemy,1931
tt0022458,Tabu: A Story of the South Seas,1931
tt0022599,À Nous la Liberté,1931
tt0022698,Blonde Venus,1932
tt0022718,Boudu Saved from Drowning,1932
tt0022835,Dr. Jekyll and Mr. Hyde,1931
tt0022879,A Farewell to Arms,1932
tt0022913,Freaks,1932
tt0022958,Grand Hotel,1932
tt0023027,Horse Feathers,1932
tt0023042,I Am a Fugitive from a Chain Gang,1932
tt0023238,The Most Dangerous Game,1932
tt0023245,The Mummy,1932
tt0023249,Murders in the Rue Morgue,1932
tt0023285,Number 17,1932
tt0023293,The Old Dark House,1932
tt0023382,Red Dust,1932
tt0023395,East of Shanghai,1931
tt0023427,Scarface,1932
tt0023458,Shanghai Express,1932
tt0023551,Tarzan the Ape Man,1932
tt0023563,The Testament of Dr. Mabuse,1933
tt0023622,Trouble in Paradise,1932
tt0023634,"I Was Born, But...",1932
tt0023649,Vampyr,1932
tt0023694,White Zombie,1932
tt0023775,Baby Face,1933
tt0023876,Cavalcade,1933
tt0023940,Design for Living,1933
tt0023948,Dinner at Eight,1933
tt0023969,Duck Soup,1933
tt0024028,Footlight Parade,1933
tt0024034,42nd Street,1933
tt0024069,Gold Diggers of 1933,1933
tt0024184,The Invisible Man,1933
tt0024188,Island of Lost Souls,1932
tt0024216,King Kong,1933
tt0024264,Little Women,1933
tt0024368,Mystery of the Wax Museum,1933
tt0024473,The Private Life of Henry VIII,1933
tt0024481,Queen Christina,1933
tt0024548,She Done Him Wrong,1933
tt0024593,Son of Kong,1933
tt0024601,Sons of the Desert,1933
tt0024803,Zero for Conduct,1933
tt0024844,L'Atalante,1934
tt0024852,March of the Wooden Soldiers,1934
tt0024894,The Black Cat,1934
tt0025164,The Gay Divorcee,1934
tt0025301,Imitation of Life,1934
tt0025316,It Happened One Night,1934
tt0025318,It's a Gift,1934
tt0025452,The Man Who Knew Too Much,1934
tt0025464,Manhattan Melodrama,1934
