tconst,nconst,rating,votes,runtimeMinutes,genresID
tt0004972,nm0000428,6.1,27302,195,G1
tt0006206,nm0275421,7.3,5650,421,G2
tt0006864,nm0000428,7.7,17325,163,G1
tt0009968,nm0000428,7.2,11403,90,G1
tt0010323,nm0927468,8,73124,67,G3
tt0011130,nm0731910,6.9,6344,69,G1
tt0011237,nm0917467,7.2,8997,91,G4
tt0011841,nm0000428,7.3,6086,145,G1
tt0012349,nm0000122,8.2,140266,68,G5
tt0012364,nm0803705,8,14890,107,G1
tt0012494,nm0000485,7.6,7003,114,G1
tt0012532,nm0000428,7.3,5634,150,G1
tt0013086,nm0000485,7.8,9518,195,G6
tt0013257,nm0159725,7.6,17885,91,G7
tt0013427,nm0280904,7.6,13886,78,G7
tt0013442,nm0003638,7.8,118051,94,G4
tt0014142,nm0941637,7.2,6401,133,G1
tt0014341,nm0090007,7.7,12981,65,G5
tt0014358,nm0000122,7.2,5892,47,G5
tt0014429,nm0628345,8.1,23812,74,G2
tt0014538,nm0166836,7,5479,63,G5
tt0014624,nm0000122,6.9,6475,82,G1
tt0015064,nm0003638,8,15838,90,G1
tt0015163,nm0187981,7.5,11553,59,G2
tt0015174,nm0000485,7.9,5248,129,G8
tt0015175,nm0000485,8.1,6870,100,G8
tt0015324,nm0000036,8.2,61078,45,G2
tt0015361,nm0001178,7.6,8991,82,G1
tt0015400,nm0909825,7.7,7303,155,G8
tt0015532,nm0718201,7.8,7246,80,G8
tt0015624,nm0896542,7.9,7536,151,G1
tt0015648,nm0001178,7.9,63103,66,G1
tt0015841,nm0628345,7.5,6295,77,G5
tt0015863,nm0000036,7.1,5251,69,G5
tt0015864,nm0000122,8.1,122971,95,G8
tt0015881,nm0002233,8,11186,140,G1
tt0016039,nm0398464,7,6141,110,G8
tt0016220,nm0432216,7.5,21043,93,G3
tt0016332,nm0000036,7.8,12270,56,G5
tt0016641,nm0629243,7.8,8120,143,G2
tt0016847,nm0003638,8.1,17397,107,G1
tt0017075,nm0000033,7.3,14154,92,G6
tt0017136,nm0000485,8.3,193058,153,G1
tt0017765,nm0395023,6.9,5653,66,G5
tt0017925,nm0115669,8.1,101948,78,G2
tt0018037,nm0189076,6.4,11468,88,G1
tt0018051,nm0928514,7.6,5016,82,G5
tt0018192,nm0304098,8.2,9305,330,G9
tt0018217,nm0017893,7.4,8728,95,G1
tt0018455,nm0003638,8.1,55205,94,G1
tt0018528,nm0115218,7.7,9770,68,G1
tt0018578,nm0920074,7.5,15289,144,G2
tt0018737,nm0655065,7.7,12382,109,G6
tt0018742,nm0781292,8,13768,76,G5
tt0018773,nm0000122,8.1,37185,72,G5
tt0018806,nm0896542,8.1,9599,98,G1
tt0018839,nm0903049,7.5,5258,76,G6
tt0019130,nm0501902,7.6,8625,110,G1
tt0019254,nm0003433,8.1,64102,114,G9
tt0019421,nm0718469,7.8,16750,70,G2
tt0019585,nm0803705,8,7459,95,G1
tt0019702,nm0000033,6.9,12778,85,G6
tt0019729,nm0064600,5.5,8465,100,G1
tt0019760,nm0895048,8.3,29058,68,G7
tt0019777,nm0282984,6.8,8454,96,G5
tt0020629,nm0587277,8.1,69685,152,G1
tt0020640,nm0373511,7.4,15621,97,G5
tt0020697,nm0903049,7.6,16938,104,G1
tt0020960,nm0400652,7.3,6261,127,G1
tt0021079,nm0503777,7.2,15032,79,G2
tt0021156,nm0903049,7,7865,92,G1
tt0021165,nm0000033,6.3,7393,92,G6
tt0021331,nm0168413,7.2,7654,55,G4
tt0021571,nm0235590,7.2,6665,75,G1
tt0021577,nm0000320,7.2,15212,63,G5
tt0021739,nm0719756,7.5,5076,95,G6
tt0021746,nm0749484,5.8,7287,123,G1
tt0021749,nm0000122,8.5,205628,87,G5
tt0021814,nm0115218,7.4,61811,75,G1
tt0021815,nm0577654,7,5378,104,G1
tt0021884,nm0001843,7.8,83143,70,G1
tt0022100,nm0000485,8.3,175908,99,G6
tt0022158,nm0572851,7.4,14561,77,G5
tt0022286,nm0920074,7.6,23790,83,G6
tt0022458,nm0003638,7.4,6641,86,G8
tt0022599,nm0163229,7.4,5097,83,G5
tt0022698,nm0903049,7.1,5997,93,G1
tt0022718,nm0719756,7.2,6452,85,G5
tt0022835,nm0541149,7.6,16639,98,G3
tt0022879,nm0097648,6.4,7163,80,G1
tt0022913,nm0115218,7.8,52533,64,G1
tt0022958,nm0332539,7.3,21550,112,G1
tt0023027,nm0572851,7.5,13733,68,G5
tt0023042,nm0503777,8.2,14992,92,G6
tt0023238,nm0681635,7.1,14615,63,G2
tt0023245,nm0005713,7,31674,73,G4
tt0023249,nm0282984,6.3,5661,61,G6
